seqnames	start	end	width	strand	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand.1	geneL	codingL	Geneid	subjectHits
chr6	29974251	29975230	980	*	0.398481226921681	11.5559555807287	341628	284940	284968	29	50	0	0	0	0	HLA-J	NR_024240	overlaps exon downstream	inside	34	overlaps exon downstream	0	1	5	5' UTR	+	3516	NA	3137	29451
chr12	4380025	4382425	2401	*	0.327853449185796	11.4748707215029	85706	528297	528331	35	65	0	0	0	0	CCND2	NM_001759 NP_001750	promoter	promoter	477	NA	NA	NA	5	NA	+	31620	NA	894	68383
chr6	30042188	30043597	1410	*	0.368526511422292	10.3187423198242	341670	285212	285239	28	39	0	0	0	0	RNF39	NM_025236 NM_170769 NM_170770 NP_079512 NP_739575 XM_017011325 XM_017011326 XP_016866814 XP_016866815	overlaps exon downstream	inside	31	overlaps exon downstream	0	1	4	overlaps 5' UTR	-	5585	NA	80352	62661
chr3	182970833	182972326	1494	*	0.3684502006531	5.5267530097965	289895	186601	186615	15	21	0	0	0	0	B3GNT5	NM_032047 NP_114436 XM_005247823 XM_005247824 XM_005247825 XM_011513225 XM_011513226 XM_011513227 XM_011513228 XM_011513229 XM_017007309 XP_005247880 XP_005247881 XP_005247882 XP_011511527 XP_011511528 XP_011511529 XP_011511530 XP_011511531 XP_016862798	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	2	5' UTR	+	19573	NA	84002	64650
chr9	21974514	21976040	1527	*	0.360379020026194	5.40568530039291	405279	413529	413543	15	15	0	0	0	0	CDKN2A	NM_000077 NM_001195132 NM_001363763 NM_058195 NM_058196 NM_058197 NP_000068 NP_001182061 NP_001350692 NP_478102 NP_478104 XM_005251343 XM_011517675 XM_011517676 XP_005251400 XP_011515977 XP_011515978 XR_929159	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	4	overlaps 5' UTR	-	7381	NA	1029	4306
chr15	40544720	40545511	792	*	0.35811576612553	5.01362072575742	133945	624998	625011	14	19	0	0	0	0	C15orf56	NM_001039905 NP_001034994	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	2	2	overlaps 5' UTR	-	2244	NA	644809	52994
chr19	41882069	41882741	673	*	0.361946491362909	4.70530438771781	200909	768528	768540	13	13	0	0	0	0	TMEM91	NM_001042595 NM_001098821 NM_001098822 NM_001098823 NM_001098824 NM_001098825 NM_001369862 NM_001369864 NP_001036060 NP_001092291 NP_001092292 NP_001092293 NP_001092294 NP_001092295 NP_001356791 NP_001356793	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	4	5' UTR	+	7549	NA	641649	52345
chr10	91294781	91295855	1075	*	0.298814166666787	4.18339833333501	53657	460596	460609	14	17	0	0	4.47428294023029e-06	0.01	SLC16A12	NM_213606 NP_998771 XM_017016237 XM_017016238 XM_017016239 XM_024447994 XP_016871726 XP_016871727 XP_016871728 XP_024303762	overlaps 5'	overlaps 5'	0	covers exon(s)	0	2	8	5' UTR	-	105262	NA	387700	32741
chr6	29894228	29894679	452	*	0.410551338575745	4.10551338575745	341610	284795	284804	10	36	0	0	4.47428294023029e-06	0.01	HCG4B	NR_001317	promoter	promoter	800	NA	NA	NA	1	NA	-	1059	NA	80868	63090
chr2	43019614	43020457	844	*	0.397372344711477	3.97372344711477	213368	94161	94170	10	12	0	0	4.47428294023029e-06	0.01	HAAO	NM_012205 NP_036337 XM_005264230 XM_011532729 XM_011532730 XM_011532731 XM_017003717 XM_024452774 XM_024452775 XP_005264287 XP_011531031 XP_011531032 XP_011531033 XP_016859206 XP_024308542 XP_024308543	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	5	overlaps 5' UTR	-	22724	NA	23498	21059
chr1	6265802	6266360	559	*	0.39310112233561	3.9310112233561	2117	5892	5901	10	16	0	0	4.47428294023029e-06	0.01	RNF207	NM_173795 NM_207396 NP_997279 XM_011541439 XM_017001259 XP_011539741 XP_016856748 XR_001737158 XR_001737159 XR_001737161 XR_001737162 XR_001737164 XR_002956484 XR_002956486 XR_946651 XR_946652	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	18	5' UTR	+	15170	NA	388591	32928
chr1	229569795	229570582	788	*	0.325205654407211	3.90246785288653	37118	74884	74895	12	14	0	0	4.47428294023029e-06	0.01	ACTA1	NM_001100 NP_001091	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	7	5' UTR	-	2850	NA	58	49622
chr16	69140892	69141478	587	*	0.390000482609647	3.90000482609647	156883	673403	673412	10	12	0	0	4.47428294023029e-06	0.01	HAS3	NM_001199280 NM_005329 NM_138612 NP_001186209 NP_005320 NP_619515 XM_005255921 XM_011523061 XP_005255978 XP_011521363	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	4	5' UTR	+	10127	NA	3038	28601
chr2	74726478	74727010	533	*	0.374143045014106	3.74143045014106	218269	103103	103112	10	12	0	0	4.47428294023029e-06	0.01	LBX2	NM_001009812 NM_001282430 NP_001009812 NP_001269359	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	2	overlaps 5' UTR	-	2025	NA	85474	67026
